timestamp,session_id,event,detail,version,answered_count,completed,time_spent
58:43.7,406810c968af18ce21a8996632c71bbf,quiz_submitted,submit_clicked,B,0,FALSE,13
06:36.8,8b1b3768cf3029f2837c28a77dcfaa05,quiz_submitted,submit_clicked,A,20,TRUE,27
06:43.4,8b1b3768cf3029f2837c28a77dcfaa05,quiz_submitted,submit_clicked,A,20,TRUE,34
07:19.9,e1be0532fb7de46dd1e0ec9e8092a023,quiz_submitted,submit_clicked,A,0,FALSE,0
07:54.2,e1be0532fb7de46dd1e0ec9e8092a023,quiz_submitted,submit_clicked,A,20,TRUE,35
08:38.5,492f3cf51032af15afdb7cf0e56c9875,quiz_submitted,submit_clicked,B,20,TRUE,24
14:05.7,3e7dc83ff4fe4ac03200584ebbad06cb,quiz_submitted,submit_clicked,A,20,TRUE,415
14:12.9,3e7dc83ff4fe4ac03200584ebbad06cb,quiz_submitted,submit_clicked,A,20,TRUE,423
17:24.4,adde1e54d15393481893c77596d19838,quiz_submitted,submit_clicked,B,15,FALSE,120
17:36.2,adde1e54d15393481893c77596d19838,quiz_submitted,submit_clicked,B,15,FALSE,132
29:34.4,a920c7feeedcfab456157a2ec0bbfce8,quiz_submitted,submit_clicked,B,0,FALSE,1
52:13.9,ee72bf513338f4e31b413ede0963e797,quiz_submitted,submit_clicked,A,0,FALSE,1
53:34.4,5d103de1277a7a7e8227b3d0b336cc95,quiz_submitted,submit_clicked,A,19,FALSE,64
54:19.4,93e351353487bf77d8d7d945ca7e4f9b,quiz_submitted,submit_clicked,A,1,FALSE,13
55:57.6,35f56425c9eb5c9e64c955c417b2aa35,quiz_submitted,submit_clicked,B,20,TRUE,361
26:46.7,e98cd477208b2c50287fdeae5b6816e2,quiz_submitted,submit_clicked,B,20,TRUE,463
27:08.7,e98cd477208b2c50287fdeae5b6816e2,quiz_submitted,submit_clicked,B,20,TRUE,485
27:32.0,8f7a22c53713dfa95245a39a9f3573d4,quiz_submitted,submit_clicked,A,20,TRUE,333
27:47.9,8f7a22c53713dfa95245a39a9f3573d4,quiz_submitted,submit_clicked,A,20,TRUE,349
30:48.2,df44efe1d510ca29053e5c1c36a97aa2,quiz_submitted,submit_clicked,A,0,FALSE,0
33:14.8,82b6141af6e3580d5c65fd46706407ba,quiz_submitted,submit_clicked,A,20,TRUE,137
33:29.1,df44efe1d510ca29053e5c1c36a97aa2,quiz_submitted,submit_clicked,A,20,TRUE,161
33:33.2,df44efe1d510ca29053e5c1c36a97aa2,quiz_submitted,submit_clicked,A,20,TRUE,165
33:42.7,47de49b1f3cc377c3bac35ae414c7e29,quiz_submitted,submit_clicked,A,20,TRUE,38
33:52.6,47de49b1f3cc377c3bac35ae414c7e29,quiz_submitted,submit_clicked,A,20,TRUE,48
35:47.0,d71159743a026f270873618c51cd7a3b,quiz_submitted,submit_clicked,A,20,TRUE,131
36:02.3,d71159743a026f270873618c51cd7a3b,quiz_submitted,submit_clicked,A,20,TRUE,147
40:56.8,0db09189148846ec2de126343805e4fa,quiz_submitted,submit_clicked,B,20,TRUE,190
49:59.5,da054ecf6b34acfc6591ace9e019c5d4,quiz_submitted,submit_clicked,A,20,TRUE,27
50:09.2,da054ecf6b34acfc6591ace9e019c5d4,quiz_submitted,submit_clicked,A,20,TRUE,37
50:20.5,da054ecf6b34acfc6591ace9e019c5d4,quiz_submitted,submit_clicked,A,20,TRUE,48
51:09.3,8ff784437e58ebb12f3dec89c9767f4b,quiz_submitted,submit_clicked,A,20,TRUE,34
09:22.0,e6bb1ab9933317f0a03995768666bd8b,quiz_submitted,submit_clicked,B,20,TRUE,154
13:47.7,dfd925cbf169fb7ce17bff6cfbe74725,quiz_submitted,submit_clicked,A,20,TRUE,111
20:19.0,7f0f61103b55b22f60e23c6d301bbad8,quiz_submitted,submit_clicked,A,20,TRUE,73
16:28.2,c440323258db7524fcfc53f93d66f85d,quiz_submitted,submit_clicked,A,0,FALSE,0
59:14.6,a4827358e7b79040953bbbdea22ba96a,quiz_submitted,submit_clicked,B,0,FALSE,10
59:55.5,a4827358e7b79040953bbbdea22ba96a,quiz_submitted,submit_clicked,B,20,TRUE,51
08:32.3,e00d28062ef24155542d9e49abe29147,quiz_submitted,submit_clicked,B,0,FALSE,0
